CODIGO|NOME|ESTADO
0361|ASSAÍ|PR
0362|DEPARTAMENTO MUNICIPAL DE TRANSITO DE ASSARÉ|CE
0363|ASSIS|SP
0364|ASSIS BRASIL|AC
0365|ASSIS CHATEAUBRIAND|PR
0366|ASSUNÇÃO|PI
0367|ASSUNÇÃO|PB
0368|ASTOLFO DUTRA|MG
0369|ASTORGA|PR
0370|ATALAIA|AL
0371|ATALAIA|PR
0372|ATALAIA DO NORTE|AM
0373|ATALANTA|SC
0374|ATALEIA|MG
0375|ATIBAIA|SP
0376|ATILIO VIVACQUA|ES
0377|AUGUSTINOPOLIS|TO
0378|AUGUSTO CORREA|PA
0379|AUGUSTO DE LIMA|MG
0380|AUGUSTO PESTANA|RS
0381|AUGUSTO SEVERO|RN
0382|AUREA|RS
0383|AURELINO LEAL|BA
0384|AURIFLAMA|SP
0385|AURILANDIA|GO
0386|AURORA|SC
0387|DEPARTAMENTO MUNICIPAL DE TRANSITO E TRANSPORTE DE AURORA|CE
0388|AURORA DO TOCANTINS|TO
0389|AUTAZES|AM
0390|AUXILIADORA|AM
0391|AVAI|SP
0392|AVANHANDAVA|SP
0393|AVARÉ|SP
0394|AVEIRO|PA
0395|AVELINO LOPES|PI
0396|AVELINOPOLIS|GO
0397|AXININ|AM
0398|AXIXA|MA
0399|AXIXA DE TOCANTINS|TO
0400|BABAÇULANDIA|TO
0401|BACABAL|MA
0402|BACURI|MA
0403|BADY BASSIT|SP
0404|BAEPENDI|MG
0405|BAGÉ|RS
0406|BAGRE|PA
0407|BAIA DA TRAICAO|PB
0408|BAIA FORMOSA|RN
0409|BAIANOPOLIS|BA
0410|BAIAO|PA
0411|BAIXA GRANDE|BA
0412|BAIXA GRANDE|PI
0413|BAIXIO|CE
0414|BAIXO GUANDU|ES
0415|BALBINOS|SP
0416|BALDIM|MG
0417|BALIZA|GO
0418|BALNEÁRIO CAMBORIÚ|SC
0419|BALSA NOVA|PR
0420|BALSAMO|SP
0421|BALSAS|MA
0422|BAMBUI|MG
0423|BANABUIU|CE
0424|BANANAL|SP
0425|BANANEIRAS|PB
0426|BANDEIRA|MG
0427|BANDEIRA DO SUL|MG
0428|BANDEIRANTES|MS
0429|BANDEIRANTES|PR
0430|BANZAE|BA
0431|BARAO|RS
0432|BARAO DE ANTONINA|SP
0433|BARAO DE COCAIS|MG
0434|BARAO DE COTEGIPE|RS
0435|BARAO DE GRAJAU|MA
0436|BARAO DE MELGACO|MT
0437|BARAO DE MONTE ALTO|MG
0438|BARAUNA|RN
0439|BARAUNAS|PB
0440|BARBACENA|MG
